                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8077,                 2.8946,                 1.8742,                0.25351,                 0.1859,                0.11752,                0.05597,                  2.306,                 2.9233,                 2.4117,                 0.0721,                 0.0031,                 0.0031
                      1,                 1.6517,                 1.9268,                 1.7229,                0.19434,                0.13462,                 0.0832,                0.04102,                 2.1163,                  3.214,                 2.2124,               0.043238,              0.0062376,              0.0062376
                      2,                 1.5908,                 1.9857,                  1.636,                0.33313,                0.23718,                0.19241,                0.08825,                 2.1188,                 2.5719,                 2.0149,               0.014312,              0.0093119,              0.0093119
                      3,                 1.6203,                 1.8906,                 1.5336,                 0.4678,                0.46767,                 0.3992,                0.11973,                 2.3007,                 3.6484,                  1.943,               0.009703,               0.009703,               0.009703
                      4,                 1.6412,                 1.7281,                 1.5402,                0.26474,                0.32051,                0.20755,                0.09293,                  2.134,                 3.2073,                 2.1161,               0.009703,               0.009703,               0.009703
                      5,                 1.6982,                 1.6399,                 1.6736,                0.53881,                0.32692,                0.36862,                0.14709,                 2.1039,                 2.4705,                  2.214,               0.009604,               0.009604,               0.009604
                      6,                 1.6634,                 1.6318,                 1.6212,                0.61517,                0.52262,                0.52766,                0.19894,                 2.0076,                 2.9115,                 2.1513,               0.009505,               0.009505,               0.009505
                      7,                 1.6463,                 1.4996,                 1.6101,                0.57871,                0.49359,                0.51316,                0.23419,                  1.872,                  2.873,                 2.0695,               0.009406,               0.009406,               0.009406
                      8,                 1.6345,                 1.4598,                  1.599,                 0.6481,                0.51282,                0.55227,                0.25651,                 1.7974,                 2.2784,                 1.9587,               0.009307,               0.009307,               0.009307
                      9,                  1.662,                 1.4668,                 1.6238,                0.67525,                0.51282,                0.59617,                0.27995,                 2.1464,                 2.1865,                 2.3273,               0.009208,               0.009208,               0.009208
